"Fool Me Once: Limited Series","107.500.000","null","null","null","null","null","null"
"Bridgerton: Season 3","91.900.000","null","null","null","null","null","null"
"Baby Reindeer: Limited Series","87.600.000","null","null","null","null","null","null"
"The Gentlemen: Season 1","75.900.000","null","null","null","null","null","null"
"Avatar The Last Airbender: Season 1","71.100.000","null","null","null","null","null","null"
"Griselda: Limited Series","69.200.000","null","null","null","null","null","null"
"American Nightmare: Season 1","55.000.000","null","null","null","null","null","null"
"3 Body Problem: Season 1","52.400.000","null","null","null","null","null","null"
"Berlin: Season 1 // Berlín: Temporada 1","48.500.000","null","null","null","null","null","null"
"One Day: Limited Series","39.400.000","null","null","null","null","null","null"
"Bridgerton: Season 1","38.400.000","Bridgerton: Season 1","7.300.000","null","null","null","null"
"Bridgerton: Season 2","34.200.000","Bridgerton: Season 2","6.800.000","null","null","null","null"
"The Asunta Case: Limited Series // El caso Asunta: Miniserie","30.700.000","null","null","null","null","null","null"
"Queen of Tears: Limited Series // 눈물의 여왕: 리미티드 시리즈","29.200.000","null","null","null","null","null","null"
"Peppa Pig: Season 6","27.500.000","Peppa Pig: Season 6","19.600.000","null","null","null","null"
"My Life With the Walter Boys: Season 1","27.200.000","My Life With the Walter Boys: Season 1","33.400.000","null","null","null","null"
"Eric: Limited Series","26.400.000","null","null","null","null","null","null"
"Testament: The Story of Moses: Season 1","26.300.000","null","null","null","null","null","null"
"Raising Voices: Season 1 // Ni una más: Temporada 1","25.400.000","null","null","null","null","null","null"
"Parasyte: The Grey: Limited Series // 기생수: 더 그레이: 리미티드 시리즈","25.400.000","null","null","null","null","null","null"
"Queen Charlotte: A Bridgerton Story","24.400.000","Queen Charlotte: A Bridgerton Story","12.000.000","null","null","null","null"
"The Brothers Sun: Season 1","23.900.000","null","null","null","null","null","null"
"CoComelon Lane: Season 1","23.900.000","CoComelon Lane: Season 1","15.400.000","null","null","null","null"
"Furies: Season 1","23.300.000","null","null","null","null","null","null"
"Young Sheldon: Season 1","23.000.000","Young Sheldon: Season 1","26.100.000","null","null","null","null"
"The Roast of Tom Brady","22.400.000","null","null","null","null","null","null"
"Hot Wheels Let's Race: Season 1","22.100.000","null","null","null","null","null","null"
"Triviaverse","21.000.000","Triviaverse","13.000.000","null","null","null","null"
"Love Is Blind: Season 6","20.900.000","null","null","null","null","null","null"
"The Tourist: Season 1","20.800.000","null","null","null","null","null","null"
"Ashley Madison: Sex","2:36","null","null","null","null","null","null"
"Peppa Pig: Season 3","20.600.000","Peppa Pig: Season 3","12.500.000","null","null","null","null"
"Dancing for the Devil: The 7M TikTok Cult: Season 1","19.800.000","null","null","null","null","null","null"
"A Man in Full: Limited Series","19.500.000","null","null","null","null","null","null"
"Peppa Pig: Season 1","19.500.000","Peppa Pig: Season 1","17.900.000","null","null","null","null"
"Bad Dinosaurs: Season 1","19.400.000","null","null","null","null","null","null"
"The Signal: Limited Series // Das Signal: Limited Series","19.300.000","null","null","null","null","null","null"
"Peppa Pig: Season 4","19.000.000","Peppa Pig: Season 4","12.300.000","null","null","null","null"
"You Are What You Eat: A Twin Experiment: Limited Series","18.800.000","null","null","null","null","null","null"
"CoComelon: Season 1","18.700.000","CoComelon: Season 1","32.700.000","null","null","null","null"
"Geek Girl: Season 1","18.200.000","null","null","null","null","null","null"
"Young Sheldon: Season 2","18.000.000","Young Sheldon: Season 2","17.200.000","null","null","null","null"
"My Demon: Limited Series // 마이 데몬: 리미티드 시리즈","17.700.000","My Demon: Limited Series // 마이 데몬: 리미티드 시리즈","14.900.000","null","null","null","null"
"Masha and the Bear: Season 5","17.400.000","Masha and the Bear: Season 5","13.300.000","null","null","null","null"
"Dave Chappelle: The Dreamer","17.400.000","Dave Chappelle: The Dreamer","2.200.000","null","null","null","null"
"Homicide: New York","16.900.000","null","null","null","null","null","null"
"Young Sheldon: Season 3","16.800.000","Young Sheldon: Season 3","14.400.000","null","null","null","null"
"Sweet Tooth: Season 3","16.300.000","null","null","null","null","null","null"
"Young Sheldon: Season 4","16.300.000","Young Sheldon: Season 4","13.100.000","null","null","null","null"
"Suits (2011): Season 1","16.200.000","Suits (2011): Season 1","26.900.000","null","null","null","null"
"The Night Agent: Season 1","16.200.000","The Night Agent: Season 1","19.000.000","null","null","null","null"
"Peppa Pig: Season 5","16.200.000","Peppa Pig: Season 5","12.000.000","null","null","null","null"
"Bandidos: Season 1","16.100.000","null","null","null","null","null","null"
"Anthracite: Secrets of the Sect","16.100.000","null","null","null","null","null","null"
"Young Sheldon: Season 5","15.900.000","Young Sheldon: Season 5","12.300.000","null","null","null","null"
"House of Ninjas: Season 1 // 忍びの家 House of Ninjas: シーズン1","15.900.000","null","null","null","null","null","null"
"Young Sheldon: Season 6","15.800.000","Young Sheldon: Season 6","5.200.000","null","null","null","null"
"Crooks: Season 1","15.700.000","null","null","null","null","null","null"
"Masha and the Bear: Season 1","15.400.000","Masha and the Bear: Season 1","16.400.000","null","null","null","null"
"Wednesday: Season 1","15.300.000","Wednesday: Season 1","23.900.000","null","null","null","null"
"Bebefinn: Season 2","15.300.000","Bebefinn: Season 2","8.500.000","null","null","null","null"
"Alexander: The Making of a God: Season 1","15.200.000","null","null","null","null","null","null"
"CoComelon: Season 2","15.200.000","CoComelon: Season 2","26.200.000","null","null","null","null"
"Bebefinn: Season 1","15.000.000","Bebefinn: Season 1","20.300.000","null","null","null","null"
"Jurassic World Camp Cretaceous: Hidden Adventure","15.000.000","Jurassic World Camp Cretaceous: Hidden Adventure","14.300.000","null","null","null","null"
"Yellowstone: Season 1","14.900.000","null","null","null","null","null","null"
"Heeramandi: The Diamond Bazaar: Season 1 // हीरामंडी: द डायमंड बाज़ार: सीज़न 1","14.800.000","null","null","null","null","null","null"
"Thank You","5:52","null","null","Thank You","1:31","Thank You","1:31"
"True Beauty: Limited Series // 여신강림: 리미티드 시리즈","14.700.000","True Beauty: Limited Series // 여신강림: 리미티드 시리즈","8.700.000","null","null","null","null"
"A Killer Paradox: Season 1 // 살인자ㅇ난감: 시즌 1","14.700.000","null","null","null","null","null","null"
"Peppa Pig: Season 2","14.600.000","Peppa Pig: Season 2","13.900.000","null","null","null","null"
"Unlocked: A Jail Experiment: Season 1","14.500.000","null","null","null","null","null","null"
"Little Angel: Volume 1","14.500.000","Little Angel: Volume 1","19.000.000","null","null","null","null"
"Doctor Slump: Limited Series // 닥터슬럼프: 리미티드 시리즈","14.400.000","null","null","null","null","null","null"
"The Program: Cons","3:12","null","null","null","null","null","null"
"Wrong Side of the Tracks: Season 3 // Entrevías: Temporada 3","13.900.000","null","null","null","null","null","null"
"Detective Forst: Season 1 // Forst: Sezon 1","13.900.000","null","null","null","null","null","null"
"PAW Patrol: Season 4","13.800.000","PAW Patrol: Season 4","700.000","null","null","null","null"
"Jurassic World: Chaos Theory: Season 1","13.700.000","null","null","null","null","null","null"
"Warrior (2019): Season 1","13.500.000","null","null","null","null","null","null"
"Hierarchy: Limited Series // 하이라키: 리미티드 시리즈","13.500.000","null","null","null","null","null","null"
"Gabby's Dollhouse: Season 1","13.400.000","Gabby's Dollhouse: Season 1","14.500.000","null","null","null","null"
"Obliterated: Season 1","13.300.000","Obliterated: Season 1","27.000.000","null","null","null","null"
"Little Angel: Volume 4","13.300.000","null","null","null","null","null","null"
"CoComelon: Season 3","13.300.000","CoComelon: Season 3","23.500.000","null","null","null","null"
"CoComelon: Season 8","13.300.000","CoComelon: Season 8","37.600.000","null","null","null","null"
"Brooklyn Nine-Nine: Season 1","13.200.000","Brooklyn Nine-Nine: Season 1","7.200.000","null","null","null","null"
"Boy Swallows Universe: Limited Series","13.100.000","null","null","null","null","null","null"
"Resident Alien: Season 1","13.000.000","null","null","null","null","null","null"
"The Manny // El niñero","13.000.000","The Manny // El niñero","9.000.000","null","null","null","null"
"Gabby's Dollhouse: Season 9","13.000.000","null","null","null","null","null","null"
"Dear Child: Limited Series // Liebes Kind: Miniserie","12.800.000","Dear Child: Limited Series // Liebes Kind: Miniserie","52.500.000","null","null","null","null"
"Dead Boy Detectives: Season 1","12.600.000","null","null","null","null","null","null"
"The 8 Show: Limited Series","12.500.000","null","null","null","null","null","null"
"Iron Reign: Season 1 // Mano de hierro: Temporada 1","12.400.000","null","null","null","null","null","null"
"Suits (2011): Season 2","12.300.000","Suits (2011): Season 2","21.700.000","null","null","null","null"
"ONE PIECE: Season 1","12.200.000","ONE PIECE: Season 1","71.600.000","null","null","null","null"
"Bodkin: Season 1","12.200.000","null","null","null","null","null","null"
"Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada","12.200.000","Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada","13.400.000","null","null","null","null"
"Avatar: The Last Airbender (2005): Book 1","12.100.000","Avatar: The Last Airbender (2005): Book 1","4.600.000","null","null","null","null"
"CoComelon: Season 4","12.100.000","CoComelon: Season 4","21.500.000","null","null","null","null"
"Little Angel: Volume 2","12.000.000","Little Angel: Volume 2","16.500.000","null","null","null","null"
"A Nearly Normal Family: Limited Series // En helt vanlig familj: Miniserie","11.900.000","A Nearly Normal Family: Limited Series // En helt vanlig familj: Miniserie","28.000.000","null","null","null","null"
"Loudermilk: Season 1","11.800.000","null","null","null","null","null","null"
"Masha and the Bear: Season 2","11.800.000","Masha and the Bear: Season 2","13.000.000","null","null","null","null"
"Gyeongseong Creature: Season 1 // 경성크리처: 시즌 1","11.700.000","Gyeongseong Creature: Season 1 // 경성크리처: 시즌 1","9.100.000","null","null","null","null"
"Physical: 100: Season 2 // 피지컬: 100: 시즌 2","11.700.000","null","null","null","null","null","null"
"The Crown: Season 6","11.600.000","The Crown: Season 6","25.200.000","null","null","null","null"
"Formula 1: Drive to Survive: Season 6","11.600.000","null","null","null","null","null","null"
"Lottie Dottie Chicken: 2ª temporada // Galinha Pintadinha: 2ª temporada","11.600.000","Lottie Dottie Chicken: 2ª temporada // Galinha Pintadinha: 2ª temporada","13.100.000","null","null","null","null"
"Unicorn Academy: Chapter 1","11.400.000","Unicorn Academy: Chapter 1","13.200.000","null","null","null","null"
"Little Angel: Volume 3","11.400.000","Little Angel: Volume 3","23.100.000","null","null","null","null"
"CoComelon: Season 6","11.400.000","CoComelon: Season 6","20.800.000","null","null","null","null"
"Brooklyn Nine-Nine: Season 2","11.300.000","Brooklyn Nine-Nine: Season 2","6.600.000","null","null","null","null"
"Gabby's Dollhouse: Season 8","11.200.000","Gabby's Dollhouse: Season 8","21.400.000","null","null","null","null"
"CoComelon: Season 9","11.100.000","null","null","null","null","null","null"
"Midsummer Night: Limited Series // Midtsommernatt: Miniserie","11.100.000","null","null","null","null","null","null"
"PAW Patrol: Season 3","11.000.000","PAW Patrol: Season 3","1.100.000","null","null","null","null"
"Yellowstone: Season 2","11.000.000","null","null","null","null","null","null"
