"Leave the World Behind","Yes","2023-12-08","286.300.000","2:22","121.000.000","","","","","","",""
"Heart of Stone","Yes","2023-08-11","228.400.000","2:05","109.600.000","","","","","","",""
"Leo","Yes","2023-11-21","171.200.000","1:47","96.000.000","","","","","","",""
"Nowhere","Yes","2023-09-29","156.600.000","1:49","86.200.000","","","","","","",""
"The Out-Laws","Yes","2023-07-07","135.500.000","1:37","83.800.000","","","","","","",""
"Hidden Strike","No","","125.900.000","1:43","73.300.000","","","","","","",""
"Reptile","Yes","2023-09-29","165.600.000","2:16","73.100.000","","","","","","",""
"The Killer","Yes","2023-11-10","135.600.000","2:00","67.800.000","","","","","","",""
"Family Switch","Yes","2023-11-30","109.400.000","1:46","61.900.000","","","","","","",""
"The Boss Baby","No","","100.700.000","1:38","61.700.000","","","","","","",""
